Band,On Air ID,Area Served,Callsign,Frequency(kHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Maximum CMF (V),Transmitter Power (W),Technical Specification Number,Licence Number,Site Id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Hours of Operation,Status
AM,4BC,Brisbane,4BC,1116,Commercial,V,0,DA,,1895,17000,10013948,1143919,402418,4BC South East Transmission Mast 273 Queens Rd NUDGEE,56,508836,6973640,27 21 37S,153 05 22E,QLD,4161,BRISBANE RA1,504,day-time,Issued
AM,Switch 1197,Brisbane,4BI,1197,Community,V,72,OD,,220,500,10009960,1170692,151436,4BI Site Meiers Rd LONG POCKET,56,499660,6956330,27 30 59S,152 59 47E,QLD,1150706,BRISBANE RA1,504,night-time,Issued
AM,Switch 1197,Brisbane,4BI,1197,Community,V,72,OD,,310,1000,10009960,1170692,151436,4BI Site Meiers Rd LONG POCKET,56,499660,6956330,27 30 59S,152 59 47E,QLD,1150706,BRISBANE RA1,504,day-time,Issued
AM,4RPH,Brisbane,4RPH,1296,Community,V,77,DA,,950,5000,5193001,1385115,13352,4RPH Site Fleming Rd TINGALPA,56,512130,6962000,27 27 55S,153 07 21E,QLD,5193,BRISBANE RA1,504,,Issued
AM,2BH,Broken Hill,2BH,567,Commercial,V,61,OD,,220,500,10004128,1385024,151236,Broadcast Site 3 km NW of BROKEN HILL,54,541899,6466095,31 56 24S,141 26 35E,NSW,10244,BROKEN HILL RA1,502,,Issued
AM,ABC Broken Hill,Broken Hill,2NB,999,National,V,77,DA,,660,2000,10004129,1150287,151237,Broadcast Site BROKEN HILL,54,545846,6467208,31 55 48S,141 29 05E,NSW,,,,,Issued
AM,ABC Kimberley,Broome,6BE,675,National,V,80,OD,,685,5000,10001459,1198479,150356,Broadcast Site 8km NNE of BROOME,51,421800,8021900,17 53 21S,122 15 42E,WA,,,,,Issued
AM,Spirit,Bunbury,6EL,621,Commercial,V,90,OD,,450,2000,10002241,1170184,150448,Broadcast Site Wireless Rd 11 km E of BUNBURY,50,383800,6310100,33 20 31S,115 45 05E,WA,10074,BUNBURY RA1,486,,Issued
AM,Radio West,Bunbury,6TZ,963,Commercial,V,57,OD,,450,2000,10002334,1385040,150448,Broadcast Site Wireless Rd 11 km E of BUNBURY,50,383800,6310100,33 20 31S,115 45 05E,WA,10404,BUNBURY RA1,486,,Issued
AM,,Bunbury,,1017,HPON,V,90,OD,,450,1000,10002242,1170832,153495,Broadcast Site Lot 10 South Western Highway WATERLOO,50,378991,6308619,33 21 17S,115 41 57E,WA,,,,,Issued
AM,4BU,Bundaberg,4BU,1332,Commercial,V,61,DA,,1200,5000,10008017,1385030,16801,4BU Broadcast Site 7km NE of BUNDABERG,56,439800,7252000,24 50 44S,152 24 15E,QLD,4169,BUNDABERG RA1,446,,Issued
AM,7BU,Burnie,7BU,558,Commercial,V,85,OD,,440,2000,10005340,1384965,130231,7BU Transmitter Site TABLE CAPE,55,392500,5464500,40 57 48S,145 43 21E,TAS,4219,BURNIE RA1,490,,Issued
AM,ABC South West,Busselton,6BS,684,National,V,183,OD,,885,5000,10002335,1198480,28084,Broadcast Site BUSSELTON,50,335674,6273998,33 39 39S,115 13 39E,WA,,,,,Issued
AM,ABC NewsRadio,Busselton,6PNN,1152,National,V,183,DA,,1415,10000,1132618,1912714,28084,Broadcast Site BUSSELTON,50,335674,6273998,33 39 39S,115 13 39E,WA,,,,,Issued
AM,ABC Radio National,Busselton,6RN,1224,National,V,183,OD,,920,5000,10002346,1156595,28084,Broadcast Site BUSSELTON,50,335674,6273998,33 39 39S,115 13 39E,WA,,,,,Issued
AM,ABC Radio National,Busselton,6RN,1269,National,V,183,OD,,885,5000,1131023,1913742,28084,Broadcast Site BUSSELTON,50,335674,6273998,33 39 39S,115 13 39E,WA,,,,,Issued
AM,,Busselton,,1404,HPON,V,183,OD,,800,4000,10002240,1152692,28084,Broadcast Site BUSSELTON,50,335674,6273998,33 39 39S,115 13 39E,WA,,,,,Issued
AM,ABC Western Plains,Byrock,2BY,657,National,V,186,DA,,1500,10000,10004001,1150285,53707,Broadcast Site BYROCK,55,445000,6608900,30 39 04S,146 25 33E,NSW,,,,,Issued
AM,ABC Far North Queensland,Cairns,4QY,801,National,V,43,OD,,430,2000,4046001,1198661,37310,Broadcast Site KAMMA,55,369893,8114024,17 03 15S,145 46 38E,QLD,,,,,Issued
AM,4CA,Cairns,4EL,846,Commercial,V,95,DA,,950,5000,10007435,1385020,151778,Broadcast Site Bessie Point 5 km NE of CAIRNS,55,374197,8130703,16 54 13S,145 49 07E,QLD,4170,CAIRNS RA1,507,,Issued
AM,FM 104.7,Canberra,2CN,666,National,V,192,OD,,880,5000,4001001,1198316,150980,Broadcast Site Barton Hwy GUNGAHLIN,55,693179,6100570,35 13 09S,149 07 20E,ACT,,,,,Issued
AM,ABC Radio National,Canberra,2RN,846,National,V,192,OD,,1250,10000,4002001,1198321,150980,Broadcast Site Barton Hwy GUNGAHLIN,55,693179,6100570,35 13 09S,149 07 20E,ACT,,,,,Issued
AM,,Canberra,,1008,HPON,V,70,OD,,171,300,10008352,1170202,150980,Broadcast Site Barton Hwy GUNGAHLIN,55,693179,6100570,35 13 09S,149 07 20E,ACT,,,,,Issued
AM,ABC Western Plains,Canberra,2CA,1053,Commercial,V,70,DA,,965,5000,4096001,1384966,150978,Broadcast Site MITCHELL,55,695502,6100199,35 13 19S,149 08 53E,ACT,4096,CANBERRA RA1,508,,Issued
AM,1RPH,Canberra,1RPH,1125,Community,V,58,DA,,591,2000,5292001,172880,150981,Broadcast Site GUNGAHLIN,55,692657,6100859,35 13 00S,149 07 00E,ACT,5292,CANBERRA RA2,442,,Issued
AM,2CBD,Canberra,2CC,1206,Commercial,V,61,DA,,908,5000,4097001,1384967,150980,Broadcast Site Barton Hwy GUNGAHLIN,55,693179,6100570,35 13 09S,149 07 20E,ACT,4097,CANBERRA RA1,508,,Issued
AM,,Canberra,,1323,HPON,V,66,DA,,335,400,1133028,1186849,138001,Broadcast Site Gungahlin Dr Kaleen,55,692956,6099514,35 13 43S,149 07 13E,ACT,,,,,Issued
AM,1SBS,Canberra,1SBS,1440,National,V,30.5,OD,,440,2000,2213001,1144546,150980,Broadcast Site Barton Hwy GUNGAHLIN,55,693179,6100570,35 13 09S,149 07 20E,ACT,,,,,Issued
AM,Classic Hits 666,Carnarvon,6LN,666,Commercial,V,30,OD,,300,1000,10001458,1191487,601609,Broadcast Site Lot 256 North West Coastal Hwy CARNARVON,49,774710,7241980,24 54 45S,113 43 11E,WA,10338,CARNARVON RA1,480,,Issued
AM,ABC North West,Carnarvon,6CA,846,National,V,31,OD,,474,2500,10001800,1198487,31759,6CA cnr Lewer Rd and Robinson St CARNARVON,49,769670,7246470,24 52 22S,113 40 08E,WA,,,,,Issued
